company,Overall,Paid Time Off,Ability Telecommute,Flexible Hours,Social Environment,Coworkers,Wellness Initiatives,Mentorship,Maternity Leave,Family Growth Support,Employer Responsiveness,Learning Opportunities,Management Opportunities,Equal Opportunities,Salary Satisfaction,Female Representation in Leadership,Number of Ratings,overall_rating,Career Opportunities,Compensation and Benefits,Culture & Values,Work/Life Balance,Paid Time Off_predicted,Ability Telecommute_predicted,Mentorship_predicted,Maternity Leave_predicted,Learning Opportunities_predicted,Management Opportunities_predicted,Salary Satisfaction_predicted,InHerSight_overall,GlassdoorOverall,company_website,logo_image,Paid Time Off_review,Ability Telecommute_review,Mentorship_review,Maternity Leave_review,Learning Opportunities_review,Management Opportunities_review,Salary Satisfaction_review
Cisco Systems,3.6,4.1,4.4,4.2,3.3,3.6,3.8,3.3,3.9,3.7,3.4,3.5,3.3,3.4,3.4,3.2,171,4,4.1,4.3,4.6,4.6,4.0565,4.0239,3.0964,3.7279,3.4084,3.2769,3.2439,3.6,4,https://jobs.cisco.com/,/static/img/cisco_systems.png,,,,,,,
Dell,3.6,4.3,4.1,3.8,3.1,3.8,3.8,3.1,3.8,3.8,3.4,3.5,3.4,3.5,3.2,3,122,3.9,3.677777778,3.822222222,3.944444444,4.1,4.2016,3.8487,2.9558,3.6393,3.4102,3.2862,3.1751,3.6,3.9,https://jobs.dell.com/,/static/img/dell.png,,,,,,,
Dropbox,3.9,4.6,3.1,4.8,4.8,4.2,4.5,2.9,4.4,4,4.4,3.5,3.4,3.2,3.5,2.6,8,4.3,4.375,5,4.75,4.75,4.5628,3.1688,2.9951,4.4353,3.4802,3.5564,3.5676,3.9,4.3,https://www.dropbox.com/jobs,/static/img/dropbox.png,,,,,,,
Ebay,3.4,3.9,2.7,2.9,3.5,3.8,3.8,3.1,4.4,3.8,2.9,2.9,3.4,3.6,3.4,3.4,67,3.7,4.142857143,4.571428571,4.571428571,4.428571429,3.9766,2.9895,3.0557,4.2843,3.0597,3.3858,3.3542,3.4,3.7,https://careers.ebayinc.com/join-our-team/start-your-search/,/static/img/ebay.png,,,,,,,
Electronic Arts,3.1,3.5,2.9,2.9,3.5,3.2,3.7,2.4,3.5,3.2,2.9,2.7,3.1,3.3,3,2.6,34,3.7,3.295774648,4.126760563,3.887323944,3.873239437,3.605,2.9072,2.4814,3.6155,2.8785,3.1385,3.0103,3.1,3.7,https://www.ea.com/careers,/static/img/ElectronicArts.png,,,,,,,
Epicore,2.8,3.4,2.8,3,3.2,3.2,2.6,1.9,2.3,2.1,3.6,2.4,2.6,3.1,2.2,3.2,10,4.1,3.461538462,3.802197802,3.582417582,3.923076923,3.6191,2.982,2.1767,2.725,2.67,2.8191,2.503,2.8,4.1,https://jobs.epicor.com/,/static/img/epicor.png,,,,,,,
Facebook,4,4.4,3.5,4,4.3,3.8,4.4,3.2,4.5,4.4,3.8,3.8,3.9,4,4.2,3.7,94,4.3,3.92,4.56,3.94,3.36,4.0815,3.3217,2.8477,4.3046,3.516,3.6563,3.791,4,4.3,https://www.facebook.com/careers/,/static/img/facebook.png,,,,,,,
Forcepoint,2.7,4.3,4.7,4,3.4,2.9,2.7,2,2.4,2,2.7,1.3,2.7,2.7,2.6,2,7,2.7,2.222222222,2.777777778,2.222222222,2.444444444,3.6492,3.8092,1.7934,2.3824,1.7665,2.4891,2.4914,2.7,2.7,https://www.forcepoint.com/company/careers,/static/img/forcepoint.png,,,,,,,
Freescale,2.7,4.4,2.3,3.2,1.2,4,3.8,2.2,3,2.8,5,2.5,1.4,1.6,2.3,2,6,3.4,3.113636364,3.545454545,4.431818182,3.25,4.0296,2.2272,2.1706,3.0611,2.5367,2.1454,2.1891,2.7,3.4,https://www.nxp.com/about/about-nxp/about-nxp/careers-at-nxp:CAREERS,/static/img/freescale.jpg,,,,,,,
GSDM,3.2,3.7,3.1,3.4,3.8,3.4,1.4,2.2,3.2,2.6,3.8,2.4,3.6,3.7,2.5,4,11,3.9,2.626373626,2.450549451,3.879120879,2.956043956,3.7626,3.0995,2.2403,3.0962,2.4566,3.3134,2.418,3.2,3.9,https://www.gsdm.com/jobs/,/static/img/GSD&M.png,,,,,,,
Gemalto,2.5,3.5,2.5,2.3,2.5,3.2,2.2,2.2,2.5,1.6,2.2,3.2,2.7,2.3,1.8,2,7,3.4,2.875,2.875,3,3.625,3.6719,2.8829,2.3113,2.8148,3.0113,2.8605,2.0909,2.5,3.4,https://www.gemalto.com/companyinfo/careers,/static/img/Gemalto.png,,,,,,,
Global Foundries,2,2.7,1.6,1.9,1.8,2.2,2.3,1.7,2.3,1.9,1.9,2.1,1.9,1.9,2.6,1.3,15,2.9,3.2,2.6,2.2,3.2,2.952,2.3815,1.886,2.4698,2.4237,2.3534,2.659,2,2.9,https://www.globalfoundries.com/about-us/careers,/static/img/global_foundries.jpg,,,,,,,
Google,3.8,4,3.5,3.8,4.1,3.8,4.3,3.3,4.3,4.2,3.5,3.8,3.4,3.7,3.7,3.1,310,4.3,4,4.714285714,4.428571429,3.857142857,3.9771,3.3585,3.1305,4.1479,3.656,3.3122,3.5564,3.8,4.3,https://careers.google.com/?&src=Online/House%20Ads/BKWS&gclid=EAIaIQobChMIx8GB0uP94gIVELjACh022AYmEAAYASAAEgK-y_D_BwE,/static/img/google.jpg,,,,,,,
Hewlett Packard Enterprises,3,3.6,2.9,3.4,2.4,3.6,3.1,2.5,3,2.8,2.9,2.6,3.2,3.2,2.5,3.3,98,4.1,4,4.375,4.5,4.625,3.774,3.2108,2.6946,3.2287,2.9347,3.2005,2.7886,3,4.1,https://www8.hp.com/us/en/jobs/index.html,/static/img/HP.png,,,,,,,
HostGator,2.2,3.5,1.4,1.8,3.2,2.8,2.8,1.2,1.9,1.7,1.8,2.7,2.2,2.4,1.9,2.1,12,3.3,2.142857143,2.527472527,2.384615385,2.747252747,3.4191,2.086,1.5557,2.2589,2.5439,2.4091,2.0371,2.2,3.3,"https://jobs.endurance.com/search-jobs/ALL?orgIds=17854-6226&alp=ALL&alt=0&ascf=[{%22Key%22:%22travel%22,%22Value%22:%22HostGator%22}]&",/static/img/hostgator.png,,,,,,,
HotSchedules,3,4.6,3.1,3.6,3.4,4,2.7,1.6,3.9,2.8,2.8,2,2.9,2.8,2.4,2.3,9,3.6,2.875,2.875,3.875,3.5,4.4516,3.2739,1.9989,3.667,2.2514,2.9492,2.3491,3,3.6,https://www.hotschedules.com/careers/,/static/img/hotschedules.jpg,,,,,,,
IBM,3.3,4,3.7,3.6,2.5,3.5,2.8,2.9,3.8,3.2,2.9,3.3,3.5,3.5,3.1,3.7,281,3.6,4.428571429,4.142857143,4.428571429,4.714285714,3.986,3.6012,2.8076,3.6365,3.1967,3.4375,3.0717,3.3,3.6,https://careers.ibm.com/,/static/img/ibm.jpg,,,,,,,
