company,Overall,Paid Time Off,Ability Telecommute,Flexible Hours,Social Environment,Coworkers,Wellness Initiatives,Mentorship,Maternity Leave,Family Growth Support,Employer Responsiveness,Learning Opportunities,Management Opportunities,Equal Opportunities,Salary Satisfaction,Female Representation in Leadership,Number of Ratings,overall_rating,Career Opportunities,Compensation and Benefits,Culture & Values,Work/Life Balance,Mentorship_predicted,Paid Time Off_predicted,Flexible Hours_predicted,Maternity Leave_predicted,Learning Opportunities_predicted,Salary Satisfaction_predicted,Management Opportunities_predicted,InHerSight_overall,GlassdoorOverall,company_website,logo_image
Global Foundries,2,2.7,1.6,1.9,1.8,2.2,2.3,1.7,2.3,1.9,1.9,2.1,1.9,1.9,2.6,1.3,15,2.9,3.2,2.6,2.2,3.2,2.1321,3.257,2.4844,2.9096,2.5613,2.7491,2.4143,2,2.9,https://www.globalfoundries.com/about-us/careers,/static/img/global_foundries.jpg
Google,3.8,4,3.5,3.8,4.1,3.8,4.3,3.3,4.3,4.2,3.5,3.8,3.4,3.7,3.7,3.1,310,4.3,4,4.714285714,4.428571429,3.857142857,3.0388,4.0042,3.5719,4.1645,3.4898,3.4467,3.3152,3.8,4.3,https://careers.google.com/?&src=Online/House%20Ads/BKWS&gclid=EAIaIQobChMIx8GB0uP94gIVELjACh022AYmEAAYASAAEgK-y_D_BwE,/static/img/google.jpg
Hewlett Packard Enterprises,3,3.6,2.9,3.4,2.4,3.6,3.1,2.5,3,2.8,2.9,2.6,3.2,3.2,2.5,3.3,98,4.1,4,4.375,4.5,4.625,2.7019,3.8462,3.4696,3.2972,2.854,2.7772,3.2945,3,4.1,https://www8.hp.com/us/en/jobs/index.html,/static/img/HP.png
HostGator,2.2,3.5,1.4,1.8,3.2,2.8,2.8,1.2,1.9,1.7,1.8,2.7,2.2,2.4,1.9,2.1,12,3.3,2.142857143,2.527472527,2.384615385,2.747252747,1.6552,3.5991,2.297,2.325,2.7712,1.9677,2.4707,2.2,3.3,"https://jobs.endurance.com/search-jobs/ALL?orgIds=17854-6226&alp=ALL&alt=0&ascf=[{%22Key%22:%22travel%22,%22Value%22:%22HostGator%22}]&",/static/img/hostgator.png
HotSchedules,3,4.6,3.1,3.6,3.4,4,2.7,1.6,3.9,2.8,2.8,2,2.9,2.8,2.4,2.3,9,3.6,2.875,2.875,3.875,3.5,1.9203,4.3695,3.4145,3.92,2.414,2.6878,2.8828,3,3.6,https://www.hotschedules.com/careers/,/static/img/hotschedules.jpg
IBM,3.3,4,3.7,3.6,2.5,3.5,2.8,2.9,3.8,3.2,2.9,3.3,3.5,3.5,3.1,3.7,281,3.6,4.428571429,4.142857143,4.428571429,4.714285714,2.9618,3.9432,3.5263,3.8653,3.2971,3.1807,3.4158,3.3,3.6,https://careers.ibm.com/,/static/img/ibm.jpg
Indeed,3.6,4.6,3,3.6,4.2,3.7,4.1,2.7,4.5,4.1,2.9,3.4,3.2,3.4,3.3,2.4,58,3.6,3.045977011,3.24137931,3.482758621,3.75862069,2.6344,4.3648,3.5768,4.0467,3.2271,3.0964,3.1513,3.6,3.6,https://www.indeed.com/cmp/Indeed,/static/img/indeed.jpg
Instacart,2.6,2,2.4,4.1,2.1,3,1.7,1.8,2.5,2.2,2.6,2,3.2,3.8,2.4,3.1,44,3.6,3.5,3.25,4.142857143,3.75,1.8366,2.5404,3.8301,2.6572,2.2044,2.6021,2.9948,2.6,3.6,https://www.instacartcareers.com/,/static/img/instacart.jpg
Intel,3.5,4.2,3.3,3.6,3.3,3.5,4,3.3,4.2,4,3.4,3.5,3.3,3.5,3.3,3,117,3.9,4.5,4.5,4.5,4.375,3.1401,4.0284,3.5505,4.0179,3.3599,3.2395,3.3024,3.5,3.9,https://jobs.intel.com/ListJobs/All,/static/img/intel.png
Invenio Solutions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.7,1.875,2.125,2.125,3.25,2.2047,3.3407,2.9594,3.1516,2.8507,2.1702,2.535,Not Rated,2.7,https://www.invenio-solutions.com/careers,/static/img/invenio_solutions.jpg
