,company,Overall,Paid Time Off,Ability Telecommute,Flexible Hours,Social Environment,Coworkers,Wellness Initiatives,Mentorship,Maternity Leave,Family Growth Support,Employer Responsiveness,Learning Opportunities,Management Opportunities,Equal Opportunities,Salary Satisfaction,Female Representation in Leadership,Number of Ratings,overall_rating,Career Opportunities,Compensation and Benefits,Culture & Values,Work/Life Balance,PCA_0,PCA_1,PCA_2,PCA_3,PCA_4,Paid Time Off_predicted,Flexible Hours_predicted,Mentorship_predicted,Maternity Leave_predicted,Learning Opportunities_predicted,Management Opportunities_predicted,Salary Satisfaction_predicted,InHerSight_overall,GlassdoorOverall,company_website,logo_image,pto_review,ml_review
10,Atlassian,3.4,4,3.7,3.7,4,3,3.3,3,4.5,3,3.3,2.7,3.7,3,3.7,2.7,,4.3,4.222222222,4.111111111,4,4.444444444,-0.975981514,0.611699898,0.735682522,-0.529009992,-0.174914194,4.0545,3.6187,2.9297,4.3661,2.9224,3.4875,3.5382,3.4,4.3,https://www.atlassian.com/company/careers,/static/img/atlassian.png,"Where do I start?  Catered lunches, breakfasts, team game lunches, free health care (family too!),  commuter & wellness fund, over the top parties & holiday events, great pay, work-life balance, etc.",
11,BankVue,3.1,4,3,2,4,3,4,2,4,3,,4,4,2,2,1,,3.8,3.9,4.2,4.1,3.7,-0.444994729,0.638402946,-0.418600683,0.452525657,0.29353569,4.0243,2.4526,2.1799,3.8368,3.735,3.7016,2.4258,3.1,3.8,https://www.kasasa.com/careers,/static/img/BankVue.png,"Free snacks, ""unlimited"" PTO, good benefits, get to work with some great people, a chairman and CEO who actually care about their employees",
12,Bazaarvoice,3.5,4.3,3.6,3.9,3.2,3.9,3.6,2.3,4.1,4.1,2.8,2,4,4,3.2,3.4,16,3.7,3.357142857,3.842857143,3.884057971,3.797101449,0.07245518,0.169314527,0.035892442,-0.044674717,-0.066888358,4.1856,3.7849,2.2432,3.9537,2.2493,3.4773,2.8902,3.5,3.7,https://www.bazaarvoice.com/careers/,/static/img/bazaarvoice.jpg,"Remote, Flexible, Friendly Atmosphere, Retirement Benefits even for Part-Time. ",
13,BigCommerce,3.5,4.2,3.1,2.8,4.4,4.1,4.2,2.4,3.7,3.8,3.3,3,3.2,3.4,3,2.7,9,3.7,3.7,3.9,3.9,3.8,-0.119845416,0.600893397,-0.131854411,0.041271427,0.198738104,4.0669,2.9723,2.3251,3.6314,2.8502,3.2196,2.9371,3.5,3.7,https://www.bigcommerce.com/careers/,/static/img/BigCommerce.png,"Catered lunch once a week, awesome coworkers, free drinks and snacks, 10 hours vacation time accrued per month, extremely reasonably priced benefits.",
14,BioWare,3.8,3.7,3.3,3.7,3.7,3.3,4.3,3,4.3,4,,3.7,3.7,3.7,5,3.3,,3.7,3.604651163,3.534883721,3.875,3.837209302,0.05985466,-0.487833381,-0.091473926,-0.074127504,-0.20673841,3.8285,3.6618,2.7806,3.999,3.3563,3.5584,4.1643,3.8,3.7,http://www.bioware.com/careers/,/static/img/bioware.png,"Good work-life balance. A lot of employees are older, with kids; as a result, the focus is on sustainable work practices rather than a bunch of twenty-somethings competing to see who can work the most hours in a week. Although crunch does occur now and then, the company makes an effort to minimize it. Lots of friendly, intelligent coworkers. Generous time off allowance at Christmas.",
15,Blackbaud,3.2,4.1,3.7,3.2,3.3,4,3.2,2.1,3.4,3,2.7,2.4,3.6,3.6,2.9,2.9,53,3.6,4.444444444,4.888888889,4.777777778,4.888888889,-1.878766656,-0.444731608,-0.281020798,-0.272386271,0.346449775,4.1847,3.5755,2.4755,3.6032,2.8266,3.5461,3.1303,3.2,3.6,https://www.blackbaud.com/company/careers,/static/img/blackbaud.jpg,"Blackbaud provides a great work environment, where new ideas are welcomed, and easy to find people to rally around and support. Bonus and base salary, are highly competitive to comparable careers in larger metropolitan areas. Free beer, wine and food seems to make its way onto the calendar every couple of weeks. Helps reduce work stress as well as build cohesiveness and communication skills between co-workers. 4 weeks paid PTO to start is a nice perk, as well as the ability to roll PTO year over year and gain more PTO through the Volunteer for Vacation program.",
16,Cirrus Logic,3.3,4.4,2.6,3.4,4.9,3.6,4.6,2.9,1.9,2.1,4,4.6,2.9,3.1,3.6,2.3,7,4.18,4.1,4.4,4.2,4.4,-1.095869609,0.313605885,-0.331834166,0.094500378,-0.124844185,4.2446,3.3861,2.8233,2.5982,4.0618,3.0203,3.4578,3.3,4.2,https://www.cirrus.com/careers/,/static/img/cirruslogic.png,"Happy Hours, decent pay, good benefits.",
17,Cisco Systems,3.6,4.1,4.4,4.2,3.3,3.6,3.8,3.3,3.9,3.7,3.4,3.5,3.3,3.4,3.4,3.2,171,4,4.1,4.3,4.6,4.6,-1.331556524,-0.505397618,-0.160856682,-0.204720007,-0.251257967,3.9997,3.8814,3.0814,3.7778,3.3052,3.2857,3.2614,3.6,4,https://jobs.cisco.com/,/static/img/cisco_systems.png,"Flexible work culture, Challenging work, 401k match, paid time off.",
18,Dell,3.6,4.3,4.1,3.8,3.1,3.8,3.8,3.1,3.8,3.8,3.4,3.5,3.4,3.5,3.2,3,122,3.9,3.677777778,3.822222222,3.944444444,4.1,-0.312416533,-0.5101063,-0.054336638,-0.09618716,-0.341260666,4.1568,3.6802,2.9069,3.8112,3.3653,3.2831,3.106,3.6,3.9,https://jobs.dell.com/,/static/img/dell.png,Good benefits. Vacation accrual over ten years equals four weeks.,
19,Dropbox,3.9,4.6,3.1,4.8,4.8,4.2,4.5,2.9,4.4,4,4.4,3.5,3.4,3.2,3.5,2.6,8,4.3,4.375,5,4.75,4.75,-1.995716831,0.581245081,0.713536378,-0.371091611,0.014003452,4.4004,4.4451,2.995,4.407,3.3413,3.4866,3.5836,3.9,4.3,https://www.dropbox.com/jobs,/static/img/dropbox.png,"Benefits and pay are truly excellent. There are generous stipends for transit, wellness, learning and development (books and conferences), and others. Dental, vision, and health are all covered. There is donation matching up to a $1000 per year, unlimited volunteer and paid time off (which, if you're daring enough to request, truly seems unlimited and I have yet to hear of someone's PTO request being declined), and if you're in an office with a Tuck Shop, world-class food served every day. You can gift Dropbox space to friends and family.",Great culture friendly people supportive team fun events good compensation. Opportunity for growth and impact. I have never worked for a company that cares so much for their employees.
20,Ebay,3.4,3.9,2.7,2.9,3.5,3.8,3.8,3.1,4.4,3.8,2.9,2.9,3.4,3.6,3.4,3.4,67,3.7,4.142857143,4.571428571,4.571428571,4.428571429,-1.314018245,-0.60170198,-0.091096292,-0.062790266,0.110499618,3.9276,3.1217,3.041,4.1731,3.0547,3.3774,3.3555,3.4,3.7,https://careers.ebayinc.com/join-our-team/start-your-search/,/static/img/ebay.png,"Great place to work with very good compensation, paid time off, bonus and stock options.",
21,Electronic Arts,3.1,3.5,2.9,2.9,3.5,3.2,3.7,2.4,3.5,3.2,2.9,2.7,3.1,3.3,3,2.6,34,3.7,3.295774648,4.126760563,3.887323944,3.873239437,-0.074182114,-0.322248302,-0.095157125,0.130899492,-0.159669373,3.6868,3.0298,2.4586,3.5156,2.8763,3.2015,3.1404,3.1,3.7,https://www.ea.com/careers,/static/img/ElectronicArts.png,"Great work life balance, mostly hard working and responsive colleagues that care about their work and the company, 5 free games each year then $20 for additional, company shuttle, EA onsite cafe that generally offers yummy food at pretty fair prices, super nice onsite gym, campus is very nice and chill, bonus/401k match, RSUs.",
22,Epicore,2.8,3.4,2.8,3,3.2,3.2,2.6,1.9,2.3,2.1,3.6,2.4,2.6,3.1,2.2,3.2,10,4.1,3.461538462,3.802197802,3.582417582,3.923076923,0.019222087,-0.498708412,0.092521097,0.057974186,-0.562723363,3.6333,3.1785,2.1351,2.8339,2.6053,2.7933,2.6298,2.8,4.1,https://jobs.epicor.com/,/static/img/epicor.png,Days fly by enjoying the challenges of what I am doing. Working with team members is very rewarding. They made me feel right at home during my on boarding and set my expectations correctly for the position I am in. Mentor training was outstanding.,
23,Facebook,4,4.4,3.5,4,4.3,3.8,4.4,3.2,4.5,4.4,3.8,3.8,3.9,4,4.2,3.7,94,4.3,3.92,4.56,3.94,3.36,-0.557313372,0.654684394,1.115841156,0.453377513,0.027464575,4.1668,3.5254,2.791,4.3049,3.6308,3.5824,3.8009,4,4.3,https://www.facebook.com/careers/,/static/img/facebook.png,"The best company culture. Open, focused, friendly and people first. Here, your voice matters, you get to work on things that matter to you and the company. The company invest in you through many ways (many perks, training materials, PTOs, 4 months parental leave, etc. During calibration you can see how everyone puts people to the top of their consideration.",Good salary and bonus structure great fringe benefits - Incredible benefits (health and wellness PTO sick leave parental leave)- Supportive and inclusive work environment w/ focus on representation.
24,Forcepoint,2.7,4.3,4.7,4,3.4,2.9,2.7,2,2.4,2,2.7,1.3,2.7,2.7,2.6,2,7,2.7,2.222222222,2.777777778,2.222222222,2.444444444,2.830918213,-0.722909291,0.152156042,0.227501515,0.164992627,3.6919,3.5001,1.9024,2.5131,1.9297,2.4895,2.4593,2.7,2.7,https://www.forcepoint.com/company/careers,/static/img/forcepoint.png,"Decent benefits - 5 weeks PTO, fully paid maternity leave and paternity leave, lots of company wide events throughout the year, bagels on Friday, some WFH flexibility.",
25,Freescale,2.7,4.4,2.3,3.2,1.2,4,3.8,2.2,3,2.8,5,2.5,1.4,1.6,2.3,2,6,3.4,3.113636364,3.545454545,4.431818182,3.25,0.381667599,0.861407481,-0.82260441,0.494490179,0.348215648,4.1311,2.9093,2.2171,3.126,2.5898,2.1687,2.2293,2.7,3.4,https://www.nxp.com/about/about-nxp/about-nxp/careers-at-nxp:CAREERS,/static/img/freescale.jpg,"Since the company itself is still fairly young, there were lots of opportunities to move up or move into different positions even within my first few months there. Most employees (at least in Content) genuinely seemed to enjoy working there - plus there was free food, beer on tap, ping-pong, and you could show up to the office in sweats.",
26,GSDM,3.2,3.7,3.1,3.4,3.8,3.4,1.4,2.2,3.2,2.6,3.8,2.4,3.6,3.7,2.5,4,11,3.9,2.626373626,2.450549451,3.879120879,2.956043956,1.41699533,0.977901883,-0.730495127,0.307397082,-0.53817785,3.8259,3.2458,2.2042,3.0303,2.513,3.2234,2.3466,3.2,3.9,https://www.gsdm.com/jobs/,/static/img/GSD&M.png,"Good benefits, good location, laid back dress code, some fun coworkers, good amount of paid time off and sick time.",
27,Gemalto,2.5,3.5,2.5,2.3,2.5,3.2,2.2,2.2,2.5,1.6,2.2,3.2,2.7,2.3,1.8,2,7,3.4,2.875,2.875,3,3.625,1.375652226,-0.434610911,-0.186672293,-0.330765805,-0.332788737,3.6541,2.8392,2.3452,2.7626,3.1042,2.8837,2.0938,2.5,3.4,https://www.gemalto.com/companyinfo/careers,/static/img/Gemalto.png,"4 weeks vacation at start, salary, benefits.",
28,Global Foundries,2,2.7,1.6,1.9,1.8,2.2,2.3,1.7,2.3,1.9,1.9,2.1,1.9,1.9,2.6,1.3,15,2.9,3.2,2.6,2.2,3.2,2.066750275,-0.780925548,0.064404459,-0.308477091,0.204741209,2.8289,2.4053,1.8036,2.4672,2.3419,2.2236,2.5041,2,2.9,https://www.globalfoundries.com/about-us/careers,/static/img/global_foundries.jpg,Flexible working hours including being able to work from home for a couple of days per week.,
29,Google,3.8,4,3.5,3.8,4.1,3.8,4.3,3.3,4.3,4.2,3.5,3.8,3.4,3.7,3.7,3.1,310,4.3,4,4.714285714,4.428571429,3.857142857,-1.13327486,0.328238697,0.361074748,0.449145209,-0.093132684,4.0379,3.6194,3.1786,4.2305,3.6772,3.3454,3.5664,3.8,4.3,https://careers.google.com/?&src=Online/House%20Ads/BKWS&gclid=EAIaIQobChMIx8GB0uP94gIVELjACh022AYmEAAYASAAEgK-y_D_BwE,/static/img/google.jpg,"Fast pace environment-the days fly by!  We have a great team of employees here, everyone works well together and helps each other out.  Benefits, pay, environment.",Lots of opportunities for personal career growth and mentorship. 
30,Hewlett Packard Enterprises,3,3.6,2.9,3.4,2.4,3.6,3.1,2.5,3,2.8,2.9,2.6,3.2,3.2,2.5,3.3,98,4.1,4,4.375,4.5,4.625,-1.299488215,-0.50850316,-0.114686416,-0.176569996,-0.364957671,3.7679,3.5393,2.7128,3.3278,2.8735,3.2167,2.8481,3,4.1,https://www8.hp.com/us/en/jobs/index.html,/static/img/HP.png,"Incredible company to work for, amazing perks, great mentorship. I have been with the company more than 10 years and I feel so blessed of working here.",
31,HostGator,2.2,3.5,1.4,1.8,3.2,2.8,2.8,1.2,1.9,1.7,1.8,2.7,2.2,2.4,1.9,2.1,12,3.3,2.142857143,2.527472527,2.384615385,2.747252747,2.644163842,0.583507722,0.751892394,-0.342692924,-0.194906326,3.3688,2.282,1.4667,2.2398,2.5336,2.3704,2.1285,2.2,3.3,"https://jobs.endurance.com/search-jobs/ALL?orgIds=17854-6226&alp=ALL&alt=0&ascf=[{%22Key%22:%22travel%22,%22Value%22:%22HostGator%22}]&",/static/img/hostgator.png,"The employees at HostGator are honestly really great (employees, not leadership). The employees make working at HostGator a fun place to work, and you'll make a lot of friends for outside of work. The medical benefits are good. The health insurance is cheap, and you get a ton of time off. Hourly employees get three weeks off their first year and salaried employees get four weeks. The interview process went smooth, and the recruiter was honest with all of my questions.",
32,HotSchedules,3,4.6,3.1,3.6,3.4,4,2.7,1.6,3.9,2.8,2.8,2,2.9,2.8,2.4,2.3,9,3.6,2.875,2.875,3.875,3.5,0.927244417,0.771378159,0.403819849,-0.562825415,-0.219004586,4.3725,3.4907,1.932,3.8258,2.3925,3.046,2.472,3,3.6,https://www.hotschedules.com/careers/,/static/img/hotschedules.jpg,"Great benefits, Open PTO, No micromanaging, Great work life balance, flexible start/leave times, free lunches 3x a month, Charity days, Lots of growth opportunities, Games room and Company Events.",
33,IBM,3.3,4,3.7,3.6,2.5,3.5,2.8,2.9,3.8,3.2,2.9,3.3,3.5,3.5,3.1,3.7,281,3.6,4.428571429,4.142857143,4.428571429,4.714285714,-1.272609719,-0.632643515,-0.227354251,-0.468334093,0.15698781,3.9712,3.5236,2.8157,3.6526,3.1637,3.4519,3.0844,3.3,3.6,https://careers.ibm.com/,/static/img/ibm.jpg,"Good benefits, days off, flexible.",
34,Indeed,3.6,4.6,3,3.6,4.2,3.7,4.1,2.7,4.5,4.1,2.9,3.4,3.2,3.4,3.3,2.4,58,3.6,3.045977011,3.24137931,3.482758621,3.75862069,0.770464076,0.603705315,0.553964614,-0.638388401,-0.130286236,4.3577,3.5533,2.5477,4.1937,3.0966,3.1388,3.0069,3.6,3.6,https://www.indeed.com/cmp/Indeed,/static/img/indeed.jpg,"Great benefits, free food, happy hours, unlimited time off.",
35,Informatica,2.9,4,3.6,3.2,3.4,2.8,3,2.8,3.4,3.2,2.5,2.2,2.6,3,3.2,2.2,6,3.9,3.55,3.7,4.033333333,4,-0.173175105,0.101494343,-0.353093556,-0.014274904,-0.258867039,4.0112,3.3232,2.684,3.3214,2.4383,2.7804,3.1531,2.9,3.9,https://informatica.gr8people.com/index.gp?method=cappPortal.showAuthPortalLandingPage,/static/img/informatica.png,"Great location, great job security , Excellent benefits, Unlimited time off, Great pay + Commission. Been working here a year and I must say I love coming to work because this job is a Godsend. This company shows that there are still organizations that focus on WORK - LIFE Balance.",
36,Instacart,2.6,2,2.4,4.1,2.1,3,1.7,1.8,2.5,2.2,2.6,2,3.2,3.8,2.4,3.1,44,3.6,3.5,3.25,4.142857143,3.75,0.195547733,0.589257043,-0.094213739,-0.311233155,0.038851872,2.7457,3.8475,2.0574,2.8824,2.3342,3.1253,2.4977,2.6,3.6,https://www.instacartcareers.com/,/static/img/instacart.jpg,"Great pay, easy to do, nice to set your own hours.",
37,Intel,3.5,4.2,3.3,3.6,3.3,3.5,4,3.3,4.2,4,3.4,3.5,3.3,3.5,3.3,3,117,3.9,4.5,4.5,4.5,4.375,-1.455139557,-0.57230949,0.001121228,0.026543156,0.090043094,4.1327,3.4249,3.1414,4.2001,3.353,3.3675,3.3002,3.5,3.9,https://jobs.intel.com/ListJobs/All,/static/img/intel.png,Good work-life Balance. Sabbatical every 4 years.,
38,Invenio Solutions,,,,,,,,,,,,,,,,,0,2.7,1.875,2.125,2.125,3.25,3.075435293,0.309477359,-0.706850885,-0.56448253,-0.041477897,3.8116,3.3675,1.8881,2.6486,2.3082,2.6481,2.1674,Not rated,2.7,https://www.invenio-solutions.com/careers,/static/img/invenio_solutions.jpg,"25 cent sodas, ability to choose your own breaks, good work/life balance, free flu shots, co-workers were awesome, cool office setting.",
39,Khoros,,,,,,,,,,,,,,,,,0,3.9,3.46,3.66,3.48,3.8,0.269044101,0.587030959,0.756858781,-0.399190867,-0.124743164,3.7753,3.2455,2.2538,3.6172,2.7999,2.9091,2.8212,Not rated,3.9,https://khoros.com/about/careers,/static/img/khoros.png,"Many of the startup perks held over as the company matured. Fun culture that generally self selects affable, hard working, people. Unlimited vacation (just make sure you take it because this also means there's no vacation pay out if you leave). Snacks (which could use some rotating but also, you're getting free snacks). Free catered lunch from Whole Foods Monday - Thursday. Beer on tap.",
40,Lawnstarter,2,3.2,4,1.8,3.2,3,1,1,2.5,1,2,2.2,2,1.5,1.8,1.2,,4,3.461538462,3.461538462,3.461538462,3.461538462,0.484207153,0.672964481,0.814184418,-0.185650412,-0.172942022,3.537,2.3353,1.5765,3.0648,2.4582,2.3915,2.1913,2,4,https://lawnstarter.workable.com/,/static/img/lawnstarter.png,"Free lunch, relatively flexible schedule as long as you get your work done. Team meetings to stay in the loop.",
41,Luminex,2.8,4,1.2,2.2,2.8,3.5,3,3,3.5,3.5,2,3.5,2.2,3,2.8,1.8,,3.6,3.37,3.89,3.11,3.19,0.70937785,-0.641625996,0.322037711,0.466349134,-0.016266063,4.0045,2.5705,2.9003,3.6202,3.4092,2.4908,2.7847,2.8,3.6,https://www.luminexcorp.com/open-positions/,/static/img/luminex.png,"Great benefits, great time off.",
42,Main Street Hub,2.9,3.5,1.7,2.2,3.9,3.8,2.1,2.3,3.5,2.9,2.7,2.7,3.8,4.1,1.9,2.8,19,3.4,3.113636364,3.545454545,4.431818182,3.25,0.381568104,0.861085074,-0.822551634,0.494553692,0.347983815,3.7648,2.5023,2.2578,3.3295,2.6712,3.1455,2.0665,2.9,3.4,https://www.mainstreethub.com/our-company/,/static/img/mainstreethub.png,"In my experience there, management really does try to create a positive work environment and listen to all employees. They definitely care about their clients too and worked hard to try and give them the best product they could, even if it meant making big changes. I had a great direct manager that genuinely cared about how I was doing, both in work and on a personal level, and they always asked for my input. Since the company itself is still fairly young, there were lots of opportunities to move up or move into different positions even within my first few months there. Most employees (at least in Content) genuinely seemed to enjoy working there - plus there was free food, beer on tap, ping-pong, and you could show up to the office in sweats.",
43,Mood Media,3.4,4.2,3.8,3.7,3.3,3.9,2.8,2.7,3.2,2.5,4.2,3.3,4,4,2.6,3.2,10,2.6,2.333333333,2.777777778,2.666666667,3.777777778,2.017554843,-0.801386878,-0.313772655,-0.791902742,0.007470634,3.7763,3.3783,2.3833,2.9775,2.9599,3.4747,2.5298,3.4,2.6,https://us.moodmedia.com/company/careers/,/static/img/moodmedia.jpg,"Casual dress 4 weeks vacation after 2yrs (if you last that long) cheap snacks and sodas, waffle Wednesday, concerts. Nice people, hard workers, overtime allowed.",
44,National Instruments,3.2,4.2,3.1,4.3,3.5,3.5,3.5,2.3,2.9,2.9,3.2,2.8,2.9,3.4,2.6,2.3,16,3.5,3.294736842,3.357894737,3.936842105,4.094736842,0.213780866,-0.509663326,-0.293082076,-0.411148459,-0.266318277,4.0654,4.0225,2.3809,3.0253,2.93,2.9697,2.6045,3.2,3.5,https://www.ni.com/careers/,/static/img/nationalinstruments.gif,"Work-life balance, offers challenging work, great co-workers made lifetime friends, decent benefits, fun place to work, great place to begin a career.",
45,Netsync Network Solutions,2.1,3.3,2.7,3.7,2.3,2,1,1,1.7,1,3,3,2,2.3,2,1,,3.7,4.428571429,4,4.714285714,4.357142857,-1.192371117,0.601333585,-0.727817504,-0.096690958,0.397034333,3.5642,3.586,1.5741,2.3805,2.9962,2.3207,2.3444,2.1,3.7,https://www.netsyncnetwork.com/careers/,/static/img/netsync.jpg,"I worked for them 2 years, Good company, very flexible, they invested  in their people.",
46,Nvidia,3,3.5,3,3.7,2.6,3.2,2.8,2.2,4,3.2,4,2.4,3,3,2.6,2.7,7,4.5,4.46,4.75,4.62,3.88,-1.570246903,-0.385099837,0.271325243,0.687085058,-0.252957158,3.798,3.5691,2.5806,4.0983,2.8003,3.1757,2.9812,3,4.5,https://www.nvidia.com/en-us/about-nvidia/careers/,/static/img/Nvidia.png,"No vacation time here at NVIDIA. Instead, you can take what you need given your work load at the moment. Some folks put regular vacations on their calendar (a week every 3 or 4 months) just to make sure they're using their time off.  Some folks abuse the heck out of this system. Many people will tend to check in while on vacation, never really disconnecting from work.",
47,Oracle,3,3.7,3.4,3.4,2.5,3.4,2.9,2.6,3.2,3,2.5,3,3.2,3.2,2.6,3,203,3.4,3.577777778,3.433333333,3.877777778,3.955555556,0.148735248,-0.561847468,-0.20803229,-0.294533018,-0.023447325,3.6678,3.5465,2.4812,3.1744,2.9884,3.1886,2.5226,3,3.4,https://www.oracle.com/corporate/careers/,/static/img/oracle.png,"Laid back, easy going and unlimited vacation.",
48,PayPal,3.7,4.2,2.8,3.3,3.7,3.8,4.1,3.3,4.4,4,3.6,3.5,3.9,4,3.5,3.9,93,3.8,4.111111111,4.222222222,4.666666667,3.666666667,-0.899560888,-0.431939179,0.006329925,0.425380198,0.105152085,4.1374,3.2552,3.1338,4.2633,3.4213,3.6446,3.437,3.7,3.8,https://www.paypal.com/us/webapps/mpp/jobs,/static/img/paypal.jpg,Incredible benefits. Unlimited vacation after 5 years you get a paid subattical.,
